Week,Airports,Class,Passengers,Date
1989 W28,ADL-PER,Business,193,10-07-1989
1989 W29,ADL-PER,Business,254,17-07-1989
1989 W30,ADL-PER,Business,185,24-07-1989
1989 W31,ADL-PER,Business,254,31-07-1989
1989 W32,ADL-PER,Business,191,07-08-1989
1989 W33,ADL-PER,Business,136,14-08-1989
1989 W34,ADL-PER,Business,0,21-08-1989
1989 W35,ADL-PER,Business,0,28-08-1989
1989 W36,ADL-PER,Business,0,04-09-1989
1989 W37,ADL-PER,Business,0,11-09-1989
1989 W38,ADL-PER,Business,0,18-09-1989
1989 W39,ADL-PER,Business,0,25-09-1989
1989 W40,ADL-PER,Business,0,02-10-1989
1989 W41,ADL-PER,Business,0,09-10-1989
1989 W42,ADL-PER,Business,0,16-10-1989
1989 W43,ADL-PER,Business,23,23-10-1989
1989 W44,ADL-PER,Business,9,30-10-1989
1989 W45,ADL-PER,Business,0,06-11-1989
1989 W46,ADL-PER,Business,0,13-11-1989
1989 W47,ADL-PER,Business,0,20-11-1989
1989 W48,ADL-PER,Business,0,27-11-1989
1989 W49,ADL-PER,Business,28,04-12-1989
1989 W50,ADL-PER,Business,163,11-12-1989
1989 W51,ADL-PER,Business,68,18-12-1989
1989 W52,ADL-PER,Business,73,25-12-1989
1990 W01,ADL-PER,Business,120,01-01-1990
1990 W02,ADL-PER,Business,105,08-01-1990
1990 W03,ADL-PER,Business,119,15-01-1990
1990 W04,ADL-PER,Business,141,22-01-1990
1990 W05,ADL-PER,Business,176,29-01-1990
1990 W06,ADL-PER,Business,192,05-02-1990
1990 W07,ADL-PER,Business,192,12-02-1990
1990 W08,ADL-PER,Business,167,19-02-1990
1990 W09,ADL-PER,Business,191,26-02-1990
1990 W10,ADL-PER,Business,172,05-03-1990
1990 W11,ADL-PER,Business,268,12-03-1990
1990 W12,ADL-PER,Business,303,19-03-1990
1990 W13,ADL-PER,Business,279,26-03-1990
1990 W14,ADL-PER,Business,162,02-04-1990
1990 W15,ADL-PER,Business,166,09-04-1990
1990 W16,ADL-PER,Business,198,16-04-1990
1990 W17,ADL-PER,Business,249,23-04-1990
1990 W18,ADL-PER,Business,219,30-04-1990
1990 W19,ADL-PER,Business,195,07-05-1990
1990 W20,ADL-PER,Business,210,14-05-1990
1990 W21,ADL-PER,Business,202,21-05-1990
1990 W22,ADL-PER,Business,205,28-05-1990
1990 W23,ADL-PER,Business,182,04-06-1990
1990 W24,ADL-PER,Business,238,11-06-1990
1990 W25,ADL-PER,Business,172,18-06-1990
1990 W26,ADL-PER,Business,174,25-06-1990
